token_id,asset_contract_address,collection_slug,last_sale_payment_token_id,last_sale_payment_token_symbol,last_sale_payment_token_address,last_sale_payment_token_name,last_sale_payment_token_eth_price,last_sale_payment_token_usd_price,last_sale_transaction_from_account_address,last_sale_transaction_id,last_sale_transaction_timestamp,last_sale_transaction_to_account_address,last_sale_event_timestamp,last_sale_total_price,last_sale_created_date,last_sale_quantity,name,num_sales,asset_contract_created_date,asset_contract_dev_seller_fee_basis_points,asset_favorites,asset_category,created_year
6996,0x417737d49a175d62625154262d8569d3890425ae,whaletogether,1.0,ETH,0x0000000000000000000000000000000000000000,Ether,1.0,2657.88,0x02e49aaddeca1b6b27edd1f5f43b5ed3e2be12ce,270300526.0,2022-02-08 11:14:13.000000,0x0a267cf51ef038fc00e71801f5a524aec06e4f07,2022-02-08 11:14:13.000000,1.2e+17,2022-02-08 11:14:42.037623,1.0,AlphieWhale #6996,1.0,2022-02-02 08:11:36.815197,750.0,1,art,2022
3400,0x82f5ef9ddc3d231962ba57a9c2ebb307dc8d26c2,dippies,1.0,ETH,0x0000000000000000000000000000000000000000,Ether,1.0,2657.88,0x84705de9c79c49c262817cf905c11d8c7f4ab3ef,292460744.0,2022-03-05 04:45:08.000000,0x7f268357a8c2552623316e2562d90e642bb538e5,2022-03-05 04:45:08.000000,7e+17,2022-03-05 04:45:17.124427,1.0,Dippie,3.0,2022-03-02 13:41:02.605663,500.0,1,art,2022
7372,0x82f5ef9ddc3d231962ba57a9c2ebb307dc8d26c2,dippies,1.0,ETH,0x0000000000000000000000000000000000000000,Ether,1.0,2657.88,0x69a1d37f789f319ae1b458b125ba853de9fa712b,292355227.0,2022-03-05 01:36:07.000000,0x7f268357a8c2552623316e2562d90e642bb538e5,2022-03-05 01:36:07.000000,6e+17,2022-03-05 01:36:35.956589,1.0,Dippie,2.0,2022-03-02 13:41:02.605663,500.0,1,art,2022
2034,0x5c1a0cc6dadf4d0fb31425461df35ba80fcbc110,pixels-farm,1.0,ETH,0x0000000000000000000000000000000000000000,Ether,1.0,2657.88,0x41f96a5ea2edea578bd1cc5be5c070ee99df805c,270456684.0,2022-02-08 15:46:14.000000,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2022-02-08 15:46:14.000000,8.78e+17,2022-02-08 15:46:58.790738,1.0,Farm Land #2034,2.0,2022-01-31 17:21:30.327073,500.0,1,art,2022
51929734946411346289540790635765095060363125039145709683616697069396287291393,0x495f947276749ce646f68ac8c248420045cb7b5e,physarum-series,1.0,ETH,0x0000000000000000000000000000000000000000,Ether,1.0,2657.88,0xcd3d98d28617b919aef45a88ba33b97b76f43d16,173469311.0,2021-09-30 15:41:52.000000,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-09-30 15:41:52.000000,1.2e+17,2021-09-30 15:42:09.979085,1.0,Physarum #043,3.0,2020-12-02 17:40:53.232025,0.0,2,art,2020
24000037,0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270,pixel-glass-by-kai,1.0,ETH,0x0000000000000000000000000000000000000000,Ether,1.0,2657.88,0x249a49d3201c1b92a1029aab1bc76a6ca8f5fff0,154086099.0,2021-08-26 20:16:59.000000,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-08-26 20:16:59.000000,1.25e+18,2021-08-26 20:17:23.796271,1.0,Pixel Glass #37,2.0,2020-12-12 13:31:36.385177,750.0,2,art,2020
34085485605809858234645056736246100833627908360907625323341301735162531282945,0x495f947276749ce646f68ac8c248420045cb7b5e,byteosaurus,1.0,ETH,0x0000000000000000000000000000000000000000,Ether,1.0,2657.88,0x29947dd91962aac1199a47e0a50a38ce57984345,262396532.0,2022-01-31 10:41:49.000000,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2022-01-31 10:41:49.000000,2.9e+16,2022-01-31 10:42:53.339724,1.0,Byteosaurus #1915,2.0,2020-12-02 17:40:53.232025,0.0,2,art,2020
51929734946411346289540790635765095060363125039145709683616697066097752408065,0x495f947276749ce646f68ac8c248420045cb7b5e,physarum-series,1.0,ETH,0x0000000000000000000000000000000000000000,Ether,1.0,2657.88,0xcd3d98d28617b919aef45a88ba33b97b76f43d16,173469784.0,2021-09-30 15:43:52.000000,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-09-30 15:43:52.000000,1.79e+17,2021-09-30 15:44:07.693891,1.0,Physarum #040,4.0,2020-12-02 17:40:53.232025,0.0,8,art,2020
85797252838490455913575901811142501181290684799210155318723712083893105459280,0x495f947276749ce646f68ac8c248420045cb7b5e,into-the-cryptoverse-nfts,1.0,ETH,0x0000000000000000000000000000000000000000,Ether,1.0,2657.88,0xe54317d37c4f4231334070e74033fdc37f79e797,277304225.0,2022-02-15 07:11:24.000000,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2022-02-15 07:11:24.000000,2e+18,2022-02-15 07:11:34.253094,1.0,Bullish With A Couple Panda Bears,39.0,2020-12-02 17:40:53.232025,0.0,107,art,2020
1495,0x3acce66cd37518a6d77d9ea3039e00b3a2955460,wonderpals,1.0,ETH,0x0000000000000000000000000000000000000000,Ether,1.0,2657.88,0x5eb899135bbce7167dc0291940ca5ccc79c283d6,290488546.0,2022-03-02 22:12:35.000000,0x7f268357a8c2552623316e2562d90e642bb538e5,2022-03-02 22:12:35.000000,6e+17,2022-03-02 22:13:05.501991,1.0,WonderPal #1495,4.0,2022-02-25 20:31:08.837213,500.0,13,art,2022
