stats_one_day_volume,stats_one_day_change,stats_one_day_sales,stats_one_day_average_price,stats_seven_day_volume,stats_seven_day_change,stats_seven_day_sales,stats_seven_day_average_price,stats_thirty_day_volume,stats_thirty_day_change,stats_thirty_day_sales,stats_thirty_day_average_price,stats_total_volume,stats_total_sales,stats_total_supply,stats_count,stats_num_owners,stats_average_price,stats_market_cap,stats_floor_price,slug,created_date,name
0.05,0.0,1,0.05,0.21,-0.46835443,4,0.0525,1.666,-0.554604999,33,0.050484848,11.4974,184.0,9970,9970,138,0.06248587,523.425,0.039,spiritman,2021-08-19T03:59:37.338711,Spirit Man
0.058,-0.47935368,2,0.029,0.543511111,-0.192885193,24,0.022646296,3.651611111,-0.977125831,144,0.02535841,205.0105698,4107.0,9655,9655,2167,0.049917353,218.6499907,0.0159,byteosaurus,2021-03-06T14:02:59.252751,Byteosaurus
0.0,-1.0,0,0.0,0.171,-0.25,9,0.019,0.684,2.6,36,0.019,0.914,47.0,5555,5555,40,0.019446809,105.545,0.019,crypto-totem-nft,2021-12-27T09:38:31.663638,Crypto-Totem
0.042,-0.25,3,0.014,0.2515,-0.405437352,18,0.013972222,2.4595,0.045310235,179,0.013740223,85.36925904,1578.0,9998,9998,916,0.054099657,139.6942778,0.014,ultrapunks,2021-03-09T19:01:30.147241,UltraPunks
2.21779,0.102067691,27,0.08214037,17.672858,-0.608660679,223,0.079250484,723.3742392,54.48690274,5366,0.134806977,736.4110858,5492.0,7777,7777,4822,0.134087962,616.3310164,0.073,whaletogether,2022-02-03T04:38:30.947260,WhaleTogether
0.035,0.166666667,2,0.0175,0.2617,-0.728245067,11,0.023790909,2.9616,-0.002895428,148,0.020010811,79.3502561,2280.0,4997,4997,1447,0.034802744,118.8831727,0.02,etherbears,2021-03-19T14:56:09.976599,EtherBears
0.055,0.0,2,0.0275,0.35,0.394422311,14,0.025,2.126,1.779084967,74,0.02872973,3.11,98.0,10014,10014,86,0.031734694,250.35,0.025,dystopian-monkeys,2021-05-18T17:19:45.151439,Dystopian Monkeys
0.84,-0.347319347,21,0.04,6.567,0.0,164,0.040042683,6.567,0.0,164,0.040042683,11.627,191.0,15935,15935,144,0.060874346,638.0801524,0.04,peaceapeclub,2021-07-15T06:34:54.220077,Peaceful Ape Social Club
371.2652934,-0.850002503,751,0.494361243,5530.565652,0.0,12354,0.447674086,5530.565652,0.0,12354,0.447674086,5530.565652,12354.0,8888,8888,5343,0.447674086,3978.927272,0.36,dippies,2022-03-02T13:41:03.480913,Dippies
0.12,1.4,11,0.010909091,0.678,0.237226277,65,0.010430769,3.5194,0.164712462,312,0.011280128,11.34169,512.0,26129,26129,429,0.022151738,272.5455692,0.01,lilshibadogesclub,2021-09-01T14:37:31.664718,Lil ShibaDoges Club
0.0,-1.0,0,0.0,0.2174,-0.743752947,6,0.036233333,3.2381,-0.545134011,76,0.042606579,32.1254,782.0,22229,22229,599,0.041081074,805.4307667,0.02,fungles-assets,2021-02-11T21:29:58.025833,Fungles Assets
17.1275,-0.677003559,16,1.07046875,271.4828899,-0.733493455,253,1.073054901,2414.684816,0.197263542,2907,0.830644932,4431.52132,7257.0,5000,5000,2409,0.610654722,5365.274504,0.97,pixels-farm,2022-01-31T17:28:02.331678,Farm Land by Pixels
0.0,-1.0,0,0.0,0.23,-0.411764706,6,0.038333333,2.366,-0.69844084,61,0.038786885,33.03279,763.0,10344,10344,573,0.043293303,396.52,0.039,cryptoguysnft,2021-03-15T01:03:03.396365,CryptoGuysNFT
0.038,1.0,2,0.019,0.133,0.166666667,7,0.019,0.651,-0.729370193,34,0.019147059,22.1425746,512.0,8898,8898,440,0.043247216,169.062,0.019,intergalactic-alien-tribe,2021-02-24T07:46:53.607390,Intergalactic Alien Tribe
0.0,-1.0,0,0.0,0.057,0.0,3,0.019,0.247,-0.458333333,13,0.019,1.275,66.0,10002,10002,66,0.019318182,190.038,0.019,art-gallery-by-hutton,2021-12-07T06:23:56.866258,The Art Gallery By Hutton V2
0.08,0.0,2,0.04,0.64,-0.238095238,16,0.04,2.48,1.455445545,62,0.04,3.5205,80.0,24995,24995,67,0.04400625,999.8,0.04,norrisfightclubnft,2021-11-28T08:37:57.264343,Norris Fight Club
0.03,-0.25,2,0.015,0.5184,-0.337931034,35,0.014811429,3.5414,-0.027622186,227,0.015600881,82.17943911,1466.0,9978,9978,1217,0.056056916,147.7884343,0.015,pixel-giraffes,2021-02-16T14:30:40.086866,Pixel Giraffes
0.025,-0.358974359,1,0.025,0.103,-0.299319728,3,0.034333333,0.406,-0.349358974,11,0.036909091,1.967,51.0,4988,4988,49,0.038568627,171.2546667,0.039,origin-and-evolution,2021-12-16T06:24:21.921960,Origin And Evolution V2
0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,-1.0,0,0.0,314.1014641,505.0,250,250,158,0.621983097,0.0,0.145,physarum-series,2021-08-08T14:39:56.402624,Physarum Series
0.557,5.9625,4,0.13925,0.696,0.303370787,6,0.116,2.2164,-0.606699262,29,0.076427586,17.10129278,282.0,7994,7994,227,0.060642882,927.304,0.059,cryptopigs,2021-02-27T11:16:37.770500,CryptoPigsNFT
0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,-1.0,0,0.0,135.8206972,237.0,256,256,128,0.57308311,0.0,0.59,pixel-glass-by-kai,2021-10-12T20:31:22.432816,Pixel Glass by kai
1.345,-0.204142012,15,0.089666667,6.1899,1.938476145,69,0.089708696,9.57339,3.663803771,140,0.068381357,28.49894981,1054.0,6051,6051,809,0.027038852,542.8273174,0.018,pixelfreaks,2021-01-15T07:45:10.852488,PiXEL FREAKS
0.174,-0.13,7,0.024857143,1.304,-0.04608632,52,0.025076923,4.49724,0.0,187,0.024049412,10.97137083,611.0,4997,4997,443,0.017956417,125.3093846,0.0235,cryptodonkey,2021-02-28T12:30:26.514855,CryptoDonkeys
0.019,-0.786516854,1,0.019,0.642,-0.057268722,34,0.018882353,3.661599,-0.60368445,185,0.019792427,25.076099,1093.0,8881,8881,988,0.022942451,167.6941765,0.018,bitfoxes,2021-03-08T12:59:55.306859,BitFoxes
1.24209,0.009008936,18,0.069005,8.73919,-0.575110134,115,0.075992957,308.5741819,0.0,2222,0.138872269,308.5741819,2222.0,3333,3333,1884,0.138872269,253.2845241,0.064,richsimmonsreflections,2022-02-12T08:43:12.343057,REFLECTIONS NFT by Rich Simmons
